name,brand,category,sales_volume,sales_volume_per_unit,new,termination,cost
장인푸드,맛있게매운(빨석구)빨간석쇠구이,치킨,"149,035","8,208",0,9,"46,450"
(주)아쌤프랜차이즈,맛지비불꼬막짬뽕,중식,0,0,1,0,"140,600"
블루밀,망향비빔국수,한식,"495,632","9,082",9,6,"174,300"
(주)맥시칸,맥시칸치킨,치킨,"99,864","7,757",16,42,"29,300"
제이비패밀리컴퍼니,맥아더떡볶이&포장맛차,분식,0,0,0,0,"112,400"
(주)해살이뜰,메밀골동해막국수,한식,"462,395","6,212",0,0,"132,800"
(주)일공공코리아,메밀당막국수,한식,0,0,3,0,"68,200"
닭터박,메칸더김밥,분식,0,0,0,0,"56,000"
(주)아라에프엔비,멕시칸요녀석,기타 외국식,"187,019","9,563",3,6,"27,500"
명가온김밥본점,명가온김밥,분식,0,0,1,0,"71,300"
(주)봉원에프앤비,명동할머니국수,기타 외식,"153,711","10,056",2,6,"68,980"
(주)엠디에프시파트너스,모두국밥,한식,0,0,0,2,"80,300"
(주)엠디에프시파트너스,모두뼈다귀감자탕,한식,"317,767","27,082",12,2,"52,030"
닭터박,모모의 삼계탕,한식,0,0,0,0,"56,000"
(주)서울스토리,모소리,기타 외식,"278,838","17,196",3,1,"107,300"
꿈꾸는식탁,모심뚝배기,한식,0,0,0,0,"65,700"
(주)엠엔에스에프,모자온달,기타 외식,"130,323",0,6,0,"52,470"
(주)마스터코리아,모캄보,커피,"119,176","2,326",2,6,"150,400"
(주)사실주의컴퍼니,모쿠네 떡볶이,분식,0,0,0,0,"67,980"
(주)팀브로,목구멍,한식,"651,463","20,915",34,0,"121,400"
(주)야베스코리아,몬스터스시&사시미,일식,"609,928","41,776",1,0,"117,750"
엔타스시,무모한 족발&보쌈,한식,0,0,0,0,"67,120"
엔타스시,무모한 치킨,치킨,0,0,0,0,"67,120"
엔타스시,무모한 커피,커피,0,0,0,0,"67,120"
엔타스시,무모회,일식,0,0,0,0,"67,120"
정상FC,무원골 흑돈대패,한식,0,0,0,0,"101,200"
닭터박,미구엘의 돈까스가게,기타 외식,0,0,0,0,"56,000"
(주)짬뽕관,미미 된장집,한식,0,0,0,0,"145,700"
(주)짬뽕관,미미 찌개방,한식,0,0,0,0,"145,700"
(주)호박패밀리,미미담(美味啖),한식,,,0,1,"132,450"
이룸커뮤니케이션,미미당,분식,"60,198","2,087",4,2,"81,950"
(주)밀빛,미사리밀빛초계국수,한식,"279,924","6,287",1,3,"82,700"
(주)미금,미사옥,한식,0,0,1,0,"67,150"
미사화로,미사화로,한식,0,0,0,0,"66,800"
더뚜껑스솥뚜껑삼겹살,미삼집,한식,0,0,1,0,"12,000"
(주)자력갱생,미세스복희,분식,0,0,0,0,"44,942"
예령산업,미소그릴,한식,0,0,0,0,"22,000"
(주)엠피대산,미스터피자&떡볶이,분식,0,0,0,0,"107,500"
(주)엠피대산,미스터피자,피자,"255,129","8,684",35,52,"174,884"
보승FC,미쓰족발,기타 외식,"246,749","8,524",1,4,"99,520"
(주)지오비에이엔,미월당,분식,0,0,1,1,"95,500"
(주)수정,미쳐버린파닭,치킨,"94,309","5,073",2,14,"28,100"
(주)올바른에프앤비,미카도스시,일식,"664,490","23,041",19,6,"136,450"
미콩커피본사,미콩커피,커피,"200,000","8,450",0,0,"50,050"
(주)디에이치엠,미쿡비빔밥,한식,0,0,0,0,"19,150"
푸드리퍼블릭코리아(유),미쿡식당,서양식,"484,843","15,392",0,0,"129,960"
(주)엠피대산,미피샌드,패스트푸드,0,0,0,0,"107,500"
(주)제이피파트너스,민속식당,한식,0,0,0,0,"80,000"
(주)한소반,밀숲,기타 외식,"305,359","16,024",0,4,"108,015"
㈜맥스원이링크,바나타이거,커피,0,0,0,0,"93,250"
(주)에스에프코퍼레이션(SFCORPORATION),바다가 내손아귀,한식,0,0,5,0,"42,570"
하나유통,바로그집,분식,"190,970","10,067",0,3,"99,900"
바로심김밥,바로심김밥,분식,0,0,0,0,"10,800"
엔타스시,바로한죽,한식,0,0,0,0,"67,120"
(주)즐거운세상,바르미샤브샤브n칼국수,기타 외식,"529,990","4,945",0,3,"581,600"
(주)즐거운세상,바르미샤브칼국수,기타 외식,0,0,0,0,"38,090"
(주)즐거운세상,바르미스시뷔페,일식,0,0,0,0,"587,800"
(주)이루에프씨,바른치킨,치킨,"288,348","16,223",110,34,"43,900"
바름카츠,바름카츠,한식,0,0,0,0,"17,831"
